ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment,Super_Score
ONEQ,0.4666831593114016,0.3222222222222223,0.4988063070838221,0.3313588743068644,0.3320639499615815,0.4459361032941566,0.34
COWZ,0.3602722778057183,0.6679012345679014,0.4278744262095634,0.5614089957799014,0.8177264332798622,0.7139546432709818,0.3329
IJS,0.5723125030269973,0.2851851851851852,0.3797541999239466,0.313375883497931,0.8732553280401172,0.9594769077967223,0.3267
DFAS,0.4958736088407667,0.3839506172839507,0.3681489680093542,0.3918625671645576,0.8413841446153432,0.8820062903492802,0.3261
IWY,0.4428247798109739,0.3098765432098766,0.4498877449549137,0.4069096688408367,0.2932774355310516,0.6439331236550241,0.3215
IWN,0.527516507749134,0.3592592592592594,0.4449609896225725,0.4586352459483251,0.8243505924537968,0.1111736467472273,0.3133
RDVY,0.3468206862312476,0.64320987654321,0.421792397673469,0.5034084175909443,0.5864996023347668,0.6826684323787453,0.3055
IWP,0.4704848895216532,0.3469135802469137,0.3133136686326956,0.4866965419642412,0.7136688998827225,0.1268167521933455,0.2951
DFAT,0.5098216143802795,0.4086419753086421,0.4344329929401851,0.3746244584769952,0.754627070892253,0.9702036086740607,0.2922
MOAT,0.3634540460172927,0.6308641975308644,0.3877803131442743,0.4235190323617997,0.6868325627165254,0.5403906637973848,0.2921
CGGR,0.4366857409437882,0.5444444444444446,0.4105907978807051,0.5825238283883811,0.6922677702438564,1.0,0.2919
IJK,0.4706917074851743,0.2728395061728396,0.3488682584838348,0.3463909323903503,0.6503390264615883,0.3931964906472439,0.2877
THRO,0.3164165635724996,0.7666666666666668,0.3785613038316329,0.3372072490940645,0.4759270992006256,0.5655686144678034,0.2791
AVUV,0.5716446302833179,0.371604938271605,0.4488356946542702,0.51077731080637,0.719128371729372,0.1114716106604867,0.277
DFSV,0.5551944610162174,0.4333333333333334,0.4293090292195535,0.3693592958412635,0.778163460631142,0.7071014732660157,0.2741
IGM,0.5581808150766536,0.5444444444444446,0.536168241346604,0.3390437627644601,0.1380464526913174,0.4524913093858633,0.2631
PAVE,0.5044779765749969,0.64320987654321,0.5122529967419842,0.4540210735781246,0.2006362643732391,0.6268001986426089,0.2486
SMH,0.8951590510949168,0.4950617283950618,0.5794183949504058,0.8880768525746641,0.1111494547268242,0.6043039231915247,0.2412
IXN,0.546205868687694,0.5444444444444446,0.4859396654681795,0.2913394075931986,0.1,0.4754345307068367,0.2412
IYW,0.5606036891589441,0.5320987654320989,0.481475101086268,0.4940647065284685,0.1432996778237601,0.408392650223473,0.2388
IWO,0.5790525125887207,0.3592592592592594,0.3394396028259042,0.3929555162435436,0.6619373710958036,0.1080450256580036,0.2313
XBI,0.7237562649626629,0.4950617283950618,0.3695791785553822,0.6968765554416798,0.1242643193184422,0.6525740771395465,0.2264
SOXX,0.9817213474000568,0.4827160493827163,0.6017357980162309,0.7227538480795593,0.1076432605853093,0.5759973514318822,0.2197
JGRO,0.4295079761185591,0.6061728395061731,0.4076202782447137,0.3274303401029573,0.4489815725974954,1.0,0.2178
IGV,0.7327755803356328,0.5444444444444446,0.2247772446881428,0.6639478442576358,0.1079223002574713,0.3051481542790929,0.2099
AIRR,0.6203614767780894,0.914814814814815,0.5662308385933273,0.3391371031641483,0.14439157219309,0.7702698228770073,0.2083
SDVY,0.4991467263658702,0.7790123456790126,0.4091506325545417,0.4370475069914876,0.5383470606473182,0.3487998675715942,0.2061
AIQ,0.543030540220141,0.9024691358024696,0.4854457008902449,0.3754769897556049,0.2154132348381705,0.5219169011753022,0.204
IBB,0.4741402640735038,0.6061728395061731,0.2493330054509818,0.4439969102659259,0.1,0.6552557523588812,0.1915
CIBR,0.466657728263241,0.7790123456790126,0.3468934265518667,0.3922012037015531,0.1163420190609708,0.460089389173978,0.1881
QLD,1.0,1.0,0.5692741208295762,0.6746874541730858,0.3208538344364612,0.1,0.1674
