ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
DFIS,3.0,2026-04-15,15.68,2.22,15.11,-14.01,0.39,0.41,5.64,,0.0
EFAV,3.0,2026-04-15,10.48,3.03,11.1,-10.94,0.2,0.47,5.45,,-0.127
SCHC,3.0,2026-04-15,13.57,3.65,15.88,-16.62,0.08,0.43,5.64,,-0.2137
SPXL,3.0,2026-04-15,44.13,0.8,44.27,-49.21,0.84,5.68,5.72,,-0.2474
CGXU,3.0,2026-04-15,11.01,5.37,18.09,-21.92,0.54,0.62,5.5,,0.0
KBWB,3.0,2026-04-15,25.91,2.27,24.58,-25.91,0.35,1.52,5.34,,0.1865
XMHQ,3.0,2026-04-15,13.46,0.6,18.89,-25.33,0.25,0.3,5.26,,-0.0782
RECS,3.0,2026-04-15,19.18,0.83,14.78,-19.28,0.15,0.41,5.37,,0.1494
JHMM,3.0,2026-04-15,13.95,0.95,16.46,-22.35,0.41,0.22,5.27,,-0.0814
SCHK,3.0,2026-04-15,18.95,1.17,15.22,-19.44,0.03,0.77,5.18,,0.0933
