ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment
SOXX,0.9817213474000569,0.4827160493827163,0.6017357980162309,0.7227538480795593,0.1076432605853093,0.5759973514318822
IUSV,0.25818349584782974,0.11234567901234568,0.444616942709115,0.5005115270166834,1.0,0.6767091541135575
XLC,0.32101882287697814,0.16172839506172842,0.5398564322050343,0.7428603238005016,0.1,0.1
AVUV,0.5716446302833179,0.371604938271605,0.44883569465427026,0.51077731080637,0.719128371729372,0.1114716106604867
FNDX,0.23923116285314117,0.371604938271605,0.4691595260800676,0.6409155510425322,1.0,0.6341003145174642
FNDF,0.23023067482034848,0.371604938271605,0.6468728901273926,0.5304647671223963,1.0,0.4694752524416489
USMV,0.1,0.2481481481481482,0.37101686070468215,0.6179765357947544,0.8090640712831781,0.716785300446946
DVY,0.2638482725188906,0.5320987654320989,0.5673240103028225,0.463861088940367,0.7413544882250652,0.48273464658169196
MTUM,0.4176541183038023,0.2481481481481482,0.4719669506596956,0.4951429033569452,0.5385775716808434,0.6917563317331569
VOOG,0.4169199993668303,0.14938271604938275,0.4543335696287654,0.4259702319860099,0.39990698677594594,0.5487336533686478
XLY,0.511157359867638,0.16172839506172842,0.3850679004295966,0.8094259700086157,0.10196540986479383,0.1
AVEM,0.35373084285991097,0.47037037037037055,0.5709815973859591,0.48692145746314885,,0.5907465651382223
VOE,0.28978393997144297,0.12469135802469138,0.46238706401263585,0.43794208498872633,0.9829179191998169,0.3502896871378911
VBK,0.5373173609121915,0.12469135802469138,0.33762244710656736,0.4282546575702021,0.7136688998827225,0.7973845389836122
RDVY,0.3468206862312476,0.64320987654321,0.421792397673469,0.5034084175909443,0.5864996023347668,0.6826684323787453
SCHA,0.5302857877814011,0.11234567901234568,0.40686484066127326,0.6149896462224229,0.8048056832427916,0.853550736633008
SDY,0.20099346229371634,0.4950617283950618,0.44018092934295733,0.4299012123324424,0.91308520820134,0.4293991061082604
CGGR,0.43668574094378826,0.5444444444444446,0.4105907978807051,0.5825238283883811,0.6922677702438564,1.0
EMXC,0.3564880632239466,0.371604938271605,0.6158358611705926,0.5863925418617684,,0.5029961926833307
EWJ,0.32359219686622054,0.6679012345679014,0.7290150122498982,0.7404230987557627,,0.19073001158748554
DFIV,0.23455441400776478,0.39629629629629637,0.6118696538305779,0.484500734171591,,0.9141863929812947
IYW,0.5606036891589441,0.5320987654320989,0.48147510108626806,0.4940647065284685,0.14329967782376019,0.40839265022347304
IWP,0.47048488952165324,0.3469135802469137,0.3133136686326956,0.4866965419642412,0.7136688998827225,0.1268167521933455
VYMI,0.19907955373658592,0.14938271604938275,0.6700348933805529,0.45532527319521304,,0.46724052309220343
DFUS,0.3130406929214842,0.1740740740740741,0.436757434101784,0.43262499222361495,0.7170173759486675,0.46887932461513004
AVDV,0.245775430335802,0.5074074074074075,0.6714485604505023,0.4420409548501222,,0.5821056116536998
OEF,0.33030427077085417,0.3098765432098766,0.4672685813807034,0.4358523716303047,0.4569038728549668,0.5324946200960107
EWY,0.6940547183766295,0.7913580246913582,0.6569126280204598,0.7009838140754561,,0.5672074159907301
IWV,0.31036276220274606,0.3098765432098766,0.4326666375012951,0.39624655811526655,0.7005904317700821,0.5536500579374277
COWZ,0.36027227780571836,0.6679012345679014,0.42787442620956345,0.5614089957799014,0.8177264332798622,0.7139546432709818
VONV,0.22857411839513603,0.13703703703703707,0.4546884542296871,0.4552678262282366,1.0,0.7894884952822382
SPYG,0.4170414158689572,0.11234567901234568,0.4687946866990105,0.7195218383715551,0.409721903940256,0.14052309220327763
VOT,0.39233328481760316,0.12469135802469138,0.3350234990200173,0.39306743007002376,0.7107693137241686,0.36012249627545123
SPEM,0.314716240650836,0.14938271604938275,0.5597511596325591,0.550503395860018,,0.5602052640291344
SPHQ,0.25096262038199807,0.2481481481481482,0.4572389417402125,0.48912802913706094,0.6328565843926506,0.5536500579374277
SPMD,0.438204512986129,0.1,0.4021852110903406,0.515870447343257,0.767414367173072,0.13426585002483038
VHT,0.2608123680738306,0.1740740740740741,0.330596270581784,0.3871249212010548,0.1,0.5250455222645258
FTEC,0.5777947450349623,0.1666666666666667,0.4836704170509895,0.40351025147812053,0.1,0.37129614302267844
DGRW,0.22567780193653153,0.4086419753086421,0.4184303969277654,0.44242491552175467,0.8597279700200856,0.6664293991061083
BBJP,0.3354396149369561,0.29753086419753094,0.7371976892196224,0.5132126080079396,,0.1
DFAI,0.20438668460924936,0.28518518518518526,0.5360995842654264,0.478173940921476,,0.3611653699718591
ESGU,0.3130345811053873,0.2481481481481482,0.4412716289119311,0.4452915796271893,0.6713761913106777,0.422694918059924
AVDE,0.2114000862557112,0.3469135802469137,0.5762698260151651,0.4114141242574304,,0.31453401754676386
IWY,0.4428247798109739,0.3098765432098766,0.4498877449549137,0.4069096688408367,0.2932774355310516,0.6439331236550241
EFG,0.3017572467207808,0.4827160493827163,0.47168996055788115,0.4710829948734184,,0.21605694421453409
VTWO,0.5457943642921599,0.13703703703703707,0.4147707570850889,0.556379756141204,0.8139169351468666,0.5809137560006623
IWS,0.34248587115937273,0.3469135802469137,0.41750527559201844,0.4045442298257377,0.9845072321151747,0.12204932958119519
SPSM,0.542880040313189,0.1,0.40712280411014584,0.5220555882987605,0.8726365878974969,0.10417149478563156
XLP,0.18040192453833304,0.16172839506172842,0.40719103077399993,0.7888604733162685,0.1,0.1
GSLC,0.29654212101749494,0.1740740740740741,0.4316896895053313,0.38319811014294974,0.6702842969413478,0.29889091210064567
SCZ,0.26044102296757987,0.5567901234567904,0.5825647235082997,0.4765875456702125,,0.1
ITA,0.31963303511310936,0.5320987654320989,0.4848778038598419,0.4119234755955817,0.10019411455454753,0.6327594769077969
DFUV,0.2832130936928864,0.3222222222222223,0.4336446118770287,0.38559345585636673,0.9009530485421189,0.46887932461513004
DFIC,0.20080399599471277,0.33456790123456803,0.5481646674260263,0.4486931774010028,,1.0
SCHM,0.42032130106600624,0.11234567901234568,0.41750307936003733,0.4673463951987137,0.8745049404850169,0.3407548419135905
