ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
DFSV,3.0,2026-04-15,13.6,1.53,21.35,-28.52,0.3,0.9,6.83,0.1599,2026-04-16
URA,3.0,2026-04-15,39.2,4.4,40.86,-39.45,0.69,3.29,6.51,0.1535,2026-04-16
JGLO,2.6,2026-04-15,14.79,1.25,14.26,-17.73,0.47,0.33,6.54,0.0,2026-04-16
IJT,3.0,2026-04-15,12.83,0.86,20.18,-27.73,0.18,0.12,6.51,0.3182,2026-04-16
IXN,3.0,2026-04-15,28.09,0.34,23.4,-25.55,0.39,0.23,6.26,0.0044,2026-04-16
MCHI,3.0,2026-04-15,5.22,2.27,27.5,-27.63,0.59,3.59,6.61,-0.0336,2026-04-16
DIVO,3.0,2026-04-15,8.2,5.12,10.98,-13.29,0.56,0.45,6.61,0.1866,2026-04-16
TCAF,2.8,2026-04-15,15.41,0.54,14.15,-16.57,0.31,0.67,6.22,0.1884,2026-04-16
BBAX,3.0,2026-04-15,8.06,3.73,16.77,-21.47,0.19,0.27,6.09,-0.0313,2026-04-16
XMMO,3.0,2026-04-15,28.0,0.71,19.99,-25.22,0.35,0.26,5.84,-0.0786,2026-04-16
VFLO,2.8,2026-04-15,19.13,1.42,15.82,-18.3,0.39,0.63,6.16,0.1904,2026-04-16
BBIN,3.0,2026-04-15,12.38,3.9,15.33,-14.26,0.07,0.21,5.84,-0.1652,2026-04-16
INDA,3.0,2026-04-15,7.54,0.0,13.96,-23.28,0.61,5.15,6.75,0.1226,2026-04-16
ESGE,3.0,2026-04-15,16.29,2.45,17.93,-18.03,0.25,0.77,5.88,0.0345,2026-04-16
KWEB,3.0,2026-04-15,-0.42,7.53,35.45,-35.31,0.7,21.2,6.04,-0.0335,2026-04-16
DXJ,3.0,2026-04-15,32.4,1.21,20.44,-22.19,0.48,0.66,5.85,-0.2744,2026-04-16
JAVA,3.0,2026-04-15,12.48,1.35,13.11,-17.08,0.44,0.24,5.97,0.0,2026-04-16
VSGX,3.0,2026-04-15,13.39,3.29,15.19,-15.12,0.1,0.16,5.78,-0.1532,2026-04-16
VOOV,3.0,2026-04-15,12.36,1.8,12.87,-18.39,0.07,0.09,6.24,-0.0004,2026-04-16
