ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment
RWL,0.19697313322663434,0.55,0.44911161481420325,0.299892775258487,,0.5158199716853789
IGM,0.5917487802106193,0.55,0.5506563520772808,0.3317907067159935,,0.4498897046719128
XBI,0.7704157277852735,0.5,0.37621096229365236,0.6982640809416896,,0.6488657689395191
IDV,0.22785774558087324,0.6875,0.7592524266333656,0.3732563498096507,,0.412850228821651
PPA,0.30179017571212174,0.7875,0.5261562953139273,0.299455299991924,,0.7029434036809012
IJJ,0.4494565592317669,0.2875,0.42386203021874536,0.30041611979918703,,0.36218022585849297
DFEM,0.3346147324560193,0.55,0.5442203166363069,0.36523370076123496,,0.466187074046028
IBB,0.5033582922077262,0.6125,0.25116364229798693,0.4451386437334501,,0.6515326112007379
QYLD,0.31185292070479464,0.8125,0.5623119713912698,0.6082702859861949,,0.393886017186317
IOO,0.3350115225527602,0.5625000000000001,0.4866191230577903,0.2935562215084468,,0.41862838705429195
